Column1,ID,Degree,betweenness_centrality,clust_coefficient,closeness_centrality,eigenvector_centrality
115,RFX4,1,0,0,0.002392344,4.27E-18
58,TBP,4,6.88E-05,0,0.009569378,4.22E-18
231,MBD3,1,0,0,0.005468216,3.68E-18
325,FOXJ1,1,0,0,0.002392344,3.44E-18
139,POU1F1,1,0,0,0.002392344,3.25E-18
402,ATF5,1,0,0,0.002392344,2.03E-18
306,GATAD2B,1,0,0,0.005468216,1.92E-18
304,GCM1,1,0,0,0.002392344,1.65E-18
320,FOXN1,1,0,0,0.002392344,1.22E-18
33,TGIF1,1,0,0,0.002392344,9.90E-19
256,IRX1,1,0,0,0.003189793,7.64E-19
52,TBX3,1,0,0,0.003189793,3.08E-19
217,MTERF1,1,0,0,0.002392344,-1.69E-19
378,CREB3L2,1,0,0,0.002392344,-2.63E-19
363,DUX4,1,0,0,0.003189793,-4.37E-19
383,CENPT,3,0,1,0.007177033,-4.58E-19
9,ZIC2,1,0,0,0.002392344,-5.05E-19
271,HOXB4,2,1.15E-05,0,0.004784689,-8.28E-19
255,IRX3,1,0,0,0.003189793,-8.80E-19
28,TTF1,1,0,0,0.005468216,-1.14E-18
158,PAX1,1,0,0,0.002392344,-2.10E-18
116,RFX3,1,0,0,0.002392344,-3.52E-18
407,ASCL2,1,0,0,0.002392344,-3.69E-18
201,NEUROG1,1,0,0,0.002392344,-4.18E-18
313,GABPA,1,0,0,0.002392344,-4.63E-18
114,RFX7,1,0,0,0.002392344,-4.74E-18
127,PROP1,1,0,0,0.002392344,-5.35E-18
250,KCNIP3,1,0,0,0.002392344,-6.20E-18
